2018-05-11 13:59:50,615 [main] INFO org.springframework.boot.test.context.SpringBootTestContextBootstrapper;Line:187 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7614495c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2ddc7394, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@64281111, org.springframework.test.context.support.DirtiesContextTestExecutionListener@278a676, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3ef88e3e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3042a8be, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@68546ab2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7e2901a0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3629f015, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7b510e7a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@68daad6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3ecacaf6]
2018-05-11 13:59:50,620 [main] INFO org.springframework.boot.test.context.SpringBootTestContextBootstrapper;Line:319 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wsl.wjw.WjwApplicationTests], using SpringBootContextLoader
2018-05-11 13:59:50,621 [main] INFO org.springframework.test.context.support.AbstractContextLoader;Line:264 - Could not detect default resource locations for test class [com.wsl.wjw.WjwApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-05-11 13:59:50,621 [main] INFO org.springframework.test.context.support.AnnotationConfigContextLoaderUtils;Line:81 - Could not detect default configuration classes for test class [com.wsl.wjw.WjwApplicationTests]: WjwApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-05-11 13:59:50,625 [main] INFO org.springframework.boot.test.context.SpringBootTestContextBootstrapper;Line:206 - Found @SpringBootConfiguration com.wsl.wjw.WjwFrontApp for test class com.wsl.wjw.WjwApplicationTests
2018-05-11 13:59:50,630 [main] INFO org.springframework.boot.test.context.SpringBootTestContextBootstrapper;Line:260 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-05-11 13:59:50,632 [main] INFO org.springframework.boot.test.context.SpringBootTestContextBootstrapper;Line:187 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@15b660b4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7886d48e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5becf473, org.springframework.test.context.support.DirtiesContextTestExecutionListener@21a4d92b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4dada74e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@43c319b9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3dcde370, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@180eedc3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7c1ba98b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7c182454, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@14f94672, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@797ff11f]
2018-05-11 13:59:50,896 [main] INFO com.wsl.wjw.WjwApplicationTests;Line:48 - Starting WjwApplicationTests on ZJS-20160530-Alan with PID 8076 (started by Administrator in C:\Users\Administrator.ZJS-20160530SMR\git\wsl\wjw-front)
2018-05-11 13:59:50,897 [main] INFO com.wsl.wjw.WjwApplicationTests;Line:593 - No active profile set, falling back to default profiles: default
2018-05-11 13:59:50,925 [main] INFO org.springframework.web.context.support.GenericWebApplicationContext;Line:583 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@40bbadde: startup date [Fri May 11 13:59:50 CST 2018]; root of context hierarchy
